id,title,count
4535,[LUCENE-2886] Adaptive Frame Of Reference,26
4565,"[LUCENE-2856] Create IndexWriter event listener, specifically for merges",16
4600,[LUCENE-2818] abort() method for IndexOutput,7
4661,[LUCENE-2753] IndexReader.listCommits should return a List and not an abstract Collection,6
4725,[LUCENE-2684] it's not possible to access sub-query's freq information if BooleanScorer is use,14
4844,[LUCENE-2558] Use sequence ids for deleted docs,11
4920,"[LUCENE-2476] Constructor of IndexWriter let's runtime exceptions pop up, while keeping the writeLock obtained",14
4921,[LUCENE-2475] Incorrect Bounding Box calculation results in the exclusion of valid data locations,10
4949,[LUCENE-2444] move contrib/analyzers to modules/analysis,9
4973,[LUCENE-2409] add a tokenfilter for icu transforms,7
4979,[LUCENE-2402] Add an explicit method to invoke IndexDeletionPolicy,15
4983,[LUCENE-2398] Improve tests to work easier from IDEs,12
4994,[LUCENE-2387] IndexWriter retains references to Readers used in Fields (memory leak),7
5167,[LUCENE-2206] integrate snowball stopword lists,8
